STT,T1,T1_clean,phanlopt1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,TBM1,TBM2,TBM3,XL1,XL2,XL3,US_TBM1,US_TBM2,US_TBM3,KQXT,MEDIAN,1,2,3,MEDIAN,1,2,3,MEDIAN,1,2,3
97,3.7,3.7,,5.4,6,5.1,5.5,3.9,6.1,4.4,4.1,4.8,5.1,4.7,5.9,6.9,4.6,5.4,3.1,3.1,5.3,5.8,5.6,5.4,6.6,4.2,3.4,4.9,5.9,6.9,5.6,6.4,5.7,4.3,5.5,4.7,4.6,3.4,6.9,7.6,7.4,4.9,5.7,7.7,5,7,6.5,7.9,7.5,4.4,F,0,1,5.25,3.75,4.75,C,4.93,5.15,6.39,Y,TB,TB,1.972,2.06,2.556,0,3.75,5.0625,5.25,6.375,,,,,,,,
11,5.2,5.2,,6.4,7.4,7,7.1,8.1,7.6,6.8,6.3,6.5,8.4,7.5,6.3,9.1,8.6,7.5,7.8,7.9,7.4,8.4,5.7,9.6,8.4,7.8,7.6,5.7,6.4,8.2,6.7,7.3,8.3,7.5,6.2,6.1,5.9,7.2,6.7,7.1,7.4,6.6,7.3,7.2,7.2,8.8,7.6,6,7.2,7.2,F,0,2,3,4,5.5,D1,6.79,7.28,7.34,K,K,K,2.716,2.912,2.936,0,3.5,3,3.75,4.875,,,,,,,,
77,5.4,5.4,,6.8,7.1,7.2,5.6,6.8,6.7,5.3,6,6.2,5.9,7.1,6.3,7.8,7.9,6,6.9,5.8,5.4,6.3,4.8,7.3,6.4,4.4,6.9,6.6,6.9,8.8,6.9,7.4,8.4,6,6.7,7.4,6.8,6.6,5.3,7,6.3,5.1,7.5,8,6.7,7,5.8,7.1,7.9,4.7,F,0,2NT,3.25,4,3.5,A,6.19,6.55,6.8,TB,K,K,2.476,2.62,2.72,0,3,2.25,3.25,4.25,,,,,,,,
17,8.8,8.8,,7,7.7,7.1,6.1,5.4,8.3,5.3,7.3,7.4,7.4,5.9,6.1,7.9,7.5,6,7.5,7,8.6,6.7,6,6.9,7.5,6.2,7.7,7.3,8.6,5.8,6.4,6.1,7.6,5.5,7.4,5.4,7.6,5.2,6.7,7.4,8.4,5.6,7.5,6.7,6,6.7,7.1,5.3,7.8,5.6,F,0,1,3.5,4,3.5,A,7.06,6.89,6.73,K,K,K,2.824,2.756,2.692,0,2.5,2.25,3.25,4.25,,,,,,,,
20,8.2,8.2,,7.3,7.8,7.6,5.6,7.2,6,6.5,6.4,7.3,5.7,5.7,5.3,7.3,6.1,6.7,6.1,7.8,9.2,6.1,4.7,6.6,7.1,5.8,5.8,6.5,7.3,5.5,5.2,3.4,6.4,6.1,7.1,6.3,7.5,7.1,4.9,4.3,7.8,5,8.9,8.2,6.5,5.3,5.8,5.7,6.6,5.5,F,0,2,3.5,4,4,A,7,6.22,6.72,K,TB,K,2.8,2.488,2.688,0,2.5,2.25,3.25,4.25,,,,,,,,
45,6.1,6.1,,6.9,5.9,6.6,6,7,6.8,6.7,8.8,7.1,6.4,6.7,6.8,7.1,7.1,7.1,8.4,7.3,5.6,7.5,5.8,6.8,6.3,7.3,6.6,7.1,6.3,6.8,6.6,6.9,6.7,6.9,7.8,7.3,6.8,7.8,6.8,6.1,4.3,5.8,7.8,6.8,8,7.4,7.1,6.6,6.8,7.3,F,0,2NT,3.75,4,4,A,6.41,7.27,7.27,TB,K,K,2.564,2.908,2.908,0,2.5,2.25,3.25,4.25,,,,,,,,
49,7.9,7.9,,6,6.4,7.4,8,7.1,8.4,7,8.1,7.5,6.7,8.7,8.5,7.9,9,7.1,7.8,7.4,6.3,8.3,7.8,8.9,9.1,7.5,5.8,8.2,8.2,8.6,8.1,9.1,8.1,7.9,7.3,6.7,6.9,6.8,8.5,9.3,8.1,6.9,7.9,8,7.6,7.3,8.2,9,6.5,6.5,F,0,2,5,4,6.75,D1,7.41,8.01,7.71,K,G,K,2.964,3.204,3.084,1,3.625,3,3.75,4.875,,,,,,,,
13,7.3,7.3,,6.3,8.7,7.7,6.6,8.5,6.9,8.5,5.8,5.7,6.3,7.3,7.3,7.1,7.9,7.7,8.5,7.1,7.8,6.5,7.1,8.4,8.5,9.1,7.6,6.7,6.7,7.8,7.5,7.1,7.8,8.9,9.3,7.2,8.6,7.1,7.5,6.9,7.5,9,8.3,7,7.1,7.2,7.9,6.8,5.6,8.5,F,0,1,2,4.5,5,D1,7.44,6.82,7.46,K,K,K,2.976,2.728,2.984,0,2.875,3,3.75,4.875,,,,,,,,
46,6.9,6.9,,5.3,7.1,5.7,7,8.4,6.2,6.4,5.4,4.8,6.6,6.4,7.3,7.4,6.6,5.7,5.3,6.6,6.2,5.9,6,8.9,6.5,5.8,5.3,6.2,5.8,7.5,6.3,6.2,8.4,5.3,7.2,6.3,6.8,6,6,4.1,7.4,5.9,7.1,7.1,6.6,5.7,6.8,5.8,7.1,5.7,F,0,2,2,4.5,5,A,6.69,6.29,6.58,K,TB,K,2.676,2.516,2.632,0,2.25,2.25,3.25,4.25,,,,,,,,
74,5.2,5.2,,3.1,4.7,5.8,6.1,3.1,4.8,4.4,5.5,5.9,5.7,6.3,5.5,4.8,6.1,5.1,4.7,6.3,5,6.1,5.9,5.8,6.1,5.8,4.3,5.9,5.5,7,6.7,4.7,6.1,6.2,4.7,6,5.5,4.7,5.8,2.9,5.4,5.1,5.7,5.4,5.7,4.7,5.7,5.3,5.3,4.8,F,0,1,2,4.5,3.75,A,4.85,5.59,5.4,Y,TB,TB,1.94,2.236,2.16,0,2,2.25,3.25,4.25,,,,,,,,
